# suppliers-info.txt — the live data source for the supplier list.
# Edit a name or the Info column and save; the website re-reads this file on every page load.
# Format:  Name | Info | BaseLikes | BaseDislikes
#   - Name / Info: shown on the site. Leave Info blank if there is nothing to add.
#   - BaseLikes / BaseDislikes: a starting vote count you can set by hand (e.g. if you are
#     migrating votes from elsewhere). Real visitor votes are added on top of these numbers.
#   - Status (Good / Fraud / Unverified) is NOT stored here — it is calculated automatically
#     from the vote counts using the 20-vote-minimum / 40%-higher / 20%-higher rule, so it is
#     always correct. Do not add a status column; it will be ignored.
# Lines starting with # are comments and are ignored. Blank lines are ignored.
#
# Name | Info | BaseLikes | BaseDislikes

ARD |  | 0 | 0
Sahara Gen. Contracting | Payment issues | 0 | 0
Al-Faidi (Yanbu) |  | 0 | 0
Gulf Globe Cont. (GGC) |  | 0 | 0
Focus |  | 0 | 0
MGC Tamimi |  | 0 | 0
Dhabi Al Jubail |  | 0 | 0
Dharat |  | 0 | 0
Al Shaheen |  | 0 | 0
Skyme |  | 0 | 0
Lumac |  | 0 | 0
Global Key |  | 0 | 0
TSC Supply |  | 0 | 0
Gulf Prix |  | 0 | 0
Noor United Gen. Cont. Est. |  | 0 | 0
Eiwan Al Jubail Gen. Est. |  | 0 | 0
Brickstone |  | 0 | 0
EAC | New name: Target Future | 0 | 0
GPC |  | 0 | 0
Al Sadd Industrial Services |  | 0 | 0
Umar Al Jubail |  | 0 | 0
Vapcon Gen. Contracting |  | 0 | 0
Mirza Supplier & Cont. |  | 0 | 0
Sad Al Arabia |  | 0 | 0
GreenDot |  | 0 | 0
Explore the Future |  | 0 | 0
Al Manar Supplier |  | 0 | 0
NAYS Supplier |  | 0 | 0
Gulf Mountain |  | 0 | 0
Fast Way Arabia |  | 0 | 0
ANCC |  | 0 | 0
Emad Nayed Al Rasheed |  | 0 | 0
NMC Gen. Contracting |  | 0 | 0
Golden Flag |  | 0 | 0
Global Industrial Solutions |  | 0 | 0
Naif Al Anazi |  | 0 | 0
MSH |  | 0 | 0
Iscom |  | 0 | 0
Safe Arabia |  | 0 | 0
Green Engineering Const. Co. |  | 0 | 0
GGC Global Value Co. |  | 0 | 0
Bright Solution |  | 0 | 0
Bright Arabia |  | 0 | 0
AMA Ali Mohsan |  | 0 | 0
Firststep |  | 0 | 0
Al Balatin |  | 0 | 0
Prompt |  | 0 | 0
Agror Gen. Contracting |  | 0 | 0
Multi Nova Engineering Services |  | 0 | 0
Sit Arabian Cont. Co. Ltd. |  | 0 | 0
A Silver Cont. Est. |  | 0 | 0
Utilities & Industrial Power Services |  | 0 | 0
Bright Plus Cont. Est. |  | 0 | 0
Middle East Star Gen. Cont. Co. |  | 0 | 0
FASTEC |  | 0 | 0
Al-Isha Cont. Est. |  | 0 | 0
ANFA Engineering |  | 0 | 0
Future Ambition Cont. Co. |  | 0 | 0
Sebsco |  | 0 | 0
Sumoua |  | 0 | 0
Core Team |  | 0 | 0
Value Star |  | 0 | 0
MAAS Industrial Services |  | 0 | 0
NABATAT Cont. Co. |  | 0 | 0
Telekom Co. MK |  | 0 | 0
Eastern Link Gen. Cont. Est. |  | 0 | 0
MMGC Supplier | Unpaid: 4 months | 0 | 0
Ex Elitex |  | 0 | 0
AMF Gen. Cont. Co. |  | 0 | 0
Titan Cont. Co. |  | 0 | 0
Jamal Jaafar Jamal Cont. Est. |  | 0 | 0
Spire |  | 0 | 0
Middle Bahrain Cont. Est. (MBCE) |  | 0 | 0
ADNOC Arabia (O&M) |  | 0 | 0
Ajasco |  | 0 | 0
Sinopec |  | 0 | 0
Allied Star |  | 0 | 0
Whitepaper | Unpaid: 3 months | 0 | 0
Rasha |  | 0 | 0
Fmfyc Co. |  | 0 | 0
Elite Support Cont. Co. LLC |  | 0 | 0
Craft Innovation Cont. | Unpaid: 10 months | 0 | 0
Altayar Nahdat Cont. Co. | Unpaid: 4 months | 0 | 0
JVR Global Co. | Fraud reported | 0 | 0
Smartech | Payment issues | 0 | 0
Alkaabi | Unpaid: 10 months | 0 | 0
Amaziy Global Ltd. Co. | Salary issues | 0 | 0
Middle East Cont. Co. | Unpaid: 8 months | 0 | 0
Sinohydro | Salary issues | 0 | 0
MEG Mubadala East Gen. Cont. Co. | Salary issues | 0 | 0
Expert Arabia | Unpaid: 6 months | 0 | 0
Innovative Solutions | Salary issues | 0 | 0
Msquare | Unpaid: 8 months | 0 | 0
Saleh Faraj Al Amiri Al Khaldi (G.E.C) |  | 0 | 0
ASB Shamukh Al Barzco | Unpaid: 6 months | 0 | 0
Saqco Arabia (Khobar) | Non-payment | 0 | 0
Makhavi Arabia |  | 0 | 0
ISD |  | 0 | 0
Primera |  | 0 | 0
Green Asia |  | 0 | 0
Zuwa Group | Delayed payments | 0 | 0
The Choice Supplier |  | 0 | 0
Skywalk | Good company, but paying late due to company issues. | 0 | 0
BEC Bnyan Alinjaz |  | 0 | 0
SWC |  | 0 | 0
Moosa Abdul Kareem | Good company, but paying late due to company issues. | 0 | 0
ATC Supply (near Sony Mosque) |  | 0 | 0
EMARABIA Global | Unpaid: 4 months | 0 | 0
ELITE Oasis Co Cont. EST |  | 0 | 0
Al Waseet Adhbi | Unpaid: 5 months (Anabeeb) | 0 | 0
NBS General Contracting |  | 0 | 0
